epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2424.31,1.51906,1.73647,0.01959,0.61434,0.6294,0.60541,0.28809,1.79921,1.53124,0.02917,0.00888494,0.00296165,0.00888494,0.00296165,0.00888494,0.00296165,0.00888494,0.00296165
31,2504.91,1.52442,1.71821,0.01966,0.63584,0.62865,0.6322,0.31608,1.71576,1.44628,0.02754,0.00887691,0.00295897,0.00887691,0.00295897,0.00887691,0.00295897,0.00887691,0.00295897
32,2586.02,1.52673,1.71235,0.01955,0.6211,0.65461,0.64215,0.30805,1.77888,1.44696,0.02892,0.00886861,0.0029562,0.00886861,0.0029562,0.00886861,0.0029562,0.00886861,0.0029562
33,2666.27,1.5187,1.6842,0.01955,0.61871,0.6386,0.64961,0.32501,1.70913,1.4145,0.02736,0.00886004,0.00295335,0.00886004,0.00295335,0.00886004,0.00295335,0.00886004,0.00295335
34,2746.36,1.52185,1.6754,0.01962,0.6254,0.64759,0.64749,0.32576,1.70651,1.40354,0.02735,0.0088512,0.0029504,0.0088512,0.0029504,0.0088512,0.0029504,0.0088512,0.0029504
35,2826.33,1.51871,1.68125,0.01966,0.62869,0.65218,0.65642,0.32795,1.70864,1.38532,0.02781,0.0088421,0.00294737,0.0088421,0.00294737,0.0088421,0.00294737,0.0088421,0.00294737
36,2906.67,1.51099,1.68087,0.01943,0.66293,0.62892,0.66545,0.35095,1.68158,1.32184,0.02709,0.00883274,0.00294425,0.00883274,0.00294425,0.00883274,0.00294425,0.00883274,0.00294425
37,2987,1.51722,1.62347,0.01933,0.66908,0.64152,0.668,0.34938,1.66931,1.32362,0.02702,0.00882311,0.00294104,0.00882311,0.00294104,0.00882311,0.00294104,0.00882311,0.00294104
38,3067.02,1.51383,1.65512,0.01938,0.65726,0.66752,0.66623,0.33981,1.6893,1.32561,0.02742,0.00881321,0.00293774,0.00881321,0.00293774,0.00881321,0.00293774,0.00881321,0.00293774
39,3147,1.51034,1.61564,0.01934,0.63559,0.65986,0.66766,0.34767,1.65739,1.2935,0.0263,0.00880306,0.00293435,0.00880306,0.00293435,0.00880306,0.00293435,0.00880306,0.00293435
40,3227.05,1.50427,1.62612,0.01929,0.63521,0.67094,0.67636,0.34349,1.7061,1.29527,0.02743,0.00879264,0.00293088,0.00879264,0.00293088,0.00879264,0.00293088,0.00879264,0.00293088
41,3307.15,1.49854,1.60933,0.01913,0.66764,0.66513,0.68119,0.35596,1.64944,1.28344,0.02655,0.00878196,0.00292732,0.00878196,0.00292732,0.00878196,0.00292732,0.00878196,0.00292732
42,3387.91,1.49807,1.59809,0.01938,0.63985,0.655,0.65717,0.32819,1.72896,1.35261,0.02782,0.00877101,0.00292367,0.00877101,0.00292367,0.00877101,0.00292367,0.00877101,0.00292367
43,3468.14,1.48892,1.60229,0.01913,0.66316,0.66624,0.68804,0.36571,1.64999,1.26436,0.02636,0.00875981,0.00291994,0.00875981,0.00291994,0.00875981,0.00291994,0.00875981,0.00291994
44,3548.95,1.49476,1.57262,0.01928,0.65347,0.69035,0.6906,0.35925,1.67164,1.26402,0.0265,0.00874835,0.00291612,0.00874835,0.00291612,0.00874835,0.00291612,0.00874835,0.00291612
45,3630.07,1.49511,1.58612,0.01922,0.66081,0.69038,0.69008,0.36722,1.65713,1.23596,0.02612,0.00873662,0.00291221,0.00873662,0.00291221,0.00873662,0.00291221,0.00873662,0.00291221
46,3710.22,1.48374,1.57386,0.01907,0.64662,0.68865,0.69327,0.3625,1.66092,1.2577,0.0262,0.00872464,0.00290821,0.00872464,0.00290821,0.00872464,0.00290821,0.00872464,0.00290821
47,3790.54,1.48366,1.55446,0.01903,0.66955,0.69247,0.70869,0.37441,1.64879,1.23276,0.02615,0.0087124,0.00290413,0.0087124,0.00290413,0.0087124,0.00290413,0.0087124,0.00290413
48,3870.88,1.48721,1.56412,0.01909,0.68132,0.6689,0.69692,0.36435,1.69498,1.25227,0.02693,0.00869991,0.00289997,0.00869991,0.00289997,0.00869991,0.00289997,0.00869991,0.00289997
49,3950.84,1.48809,1.54274,0.01907,0.67313,0.67802,0.69136,0.35575,1.70561,1.24746,0.027,0.00868715,0.00289572,0.00868715,0.00289572,0.00868715,0.00289572,0.00868715,0.00289572
50,4030.9,1.47333,1.54432,0.01909,0.6557,0.69643,0.70111,0.36119,1.7128,1.25119,0.02698,0.00867415,0.00289138,0.00867415,0.00289138,0.00867415,0.00289138,0.00867415,0.00289138
51,4111.16,1.46933,1.52322,0.01879,0.67608,0.67264,0.70393,0.36245,1.70337,1.23061,0.02672,0.00866088,0.00288696,0.00866088,0.00288696,0.00866088,0.00288696,0.00866088,0.00288696
52,4191.29,1.4764,1.53941,0.01885,0.65732,0.69436,0.69995,0.35938,1.7012,1.25656,0.02686,0.00864737,0.00288246,0.00864737,0.00288246,0.00864737,0.00288246,0.00864737,0.00288246
53,4271.48,1.47859,1.51954,0.01893,0.67704,0.68367,0.70216,0.36565,1.6855,1.23465,0.02657,0.0086336,0.00287787,0.0086336,0.00287787,0.0086336,0.00287787,0.0086336,0.00287787
54,4352.01,1.46875,1.53487,0.01877,0.68435,0.69455,0.70904,0.37435,1.66632,1.21719,0.02618,0.00861957,0.00287319,0.00861957,0.00287319,0.00861957,0.00287319,0.00861957,0.00287319
55,4433.38,1.46044,1.51082,0.01865,0.6803,0.69851,0.7093,0.38046,1.6509,1.21146,0.02617,0.0086053,0.00286843,0.0086053,0.00286843,0.0086053,0.00286843,0.0086053,0.00286843
56,4512.77,1.45875,1.51227,0.0186,0.67856,0.6966,0.71293,0.37808,1.65068,1.20809,0.02607,0.00859078,0.00286359,0.00859078,0.00286359,0.00859078,0.00286359,0.00859078,0.00286359
57,4594.19,1.46948,1.49327,0.01887,0.66809,0.70759,0.71591,0.38205,1.6459,1.20153,0.02595,0.008576,0.00285867,0.008576,0.00285867,0.008576,0.00285867,0.008576,0.00285867
58,4673.93,1.46002,1.4862,0.01851,0.67052,0.70718,0.71881,0.38833,1.62842,1.18199,0.0256,0.00856098,0.00285366,0.00856098,0.00285366,0.00856098,0.00285366,0.00856098,0.00285366
59,4753.78,1.46508,1.49319,0.01863,0.67086,0.71574,0.7115,0.37799,1.65248,1.19659,0.02586,0.00854571,0.00284857,0.00854571,0.00284857,0.00854571,0.00284857,0.00854571,0.00284857
60,4832.36,1.44593,1.47674,0.01826,0.67015,0.71882,0.70584,0.37547,1.65579,1.18277,0.02601,0.0085302,0.0028434,0.0085302,0.0028434,0.0085302,0.0028434,0.0085302,0.0028434
61,4909.76,1.45389,1.46986,0.01867,0.68487,0.7183,0.71546,0.3826,1.6478,1.18941,0.02593,0.00851443,0.00283814,0.00851443,0.00283814,0.00851443,0.00283814,0.00851443,0.00283814
62,4988.91,1.45066,1.46685,0.01845,0.68424,0.71457,0.71756,0.38134,1.64004,1.18364,0.02566,0.00849843,0.00283281,0.00849843,0.00283281,0.00849843,0.00283281,0.00849843,0.00283281
63,5068.84,1.44683,1.43871,0.01852,0.70126,0.71083,0.72051,0.38993,1.63886,1.17967,0.02574,0.00848218,0.00282739,0.00848218,0.00282739,0.00848218,0.00282739,0.00848218,0.00282739
64,5148.69,1.44484,1.46962,0.01847,0.69146,0.71729,0.72549,0.39205,1.63104,1.1656,0.02546,0.00846568,0.00282189,0.00846568,0.00282189,0.00846568,0.00282189,0.00846568,0.00282189
65,5228.47,1.44229,1.44798,0.01826,0.69447,0.71476,0.72997,0.39673,1.61975,1.14869,0.02522,0.00844895,0.00281632,0.00844895,0.00281632,0.00844895,0.00281632,0.00844895,0.00281632
66,5308.43,1.44031,1.43794,0.01824,0.69671,0.72917,0.7325,0.39639,1.62529,1.16095,0.02545,0.00843197,0.00281066,0.00843197,0.00281066,0.00843197,0.00281066,0.00843197,0.00281066
67,5388.28,1.44791,1.43299,0.01821,0.68926,0.72738,0.73128,0.39813,1.62208,1.1555,0.0254,0.00841475,0.00280492,0.00841475,0.00280492,0.00841475,0.00280492,0.00841475,0.00280492
68,5468.03,1.44782,1.446,0.01827,0.69597,0.71435,0.72756,0.39297,1.63275,1.15351,0.02557,0.0083973,0.0027991,0.0083973,0.0027991,0.0083973,0.0027991,0.0083973,0.0027991
69,5548.28,1.44527,1.43142,0.01824,0.70698,0.70808,0.73027,0.39192,1.6374,1.15311,0.02572,0.00837961,0.0027932,0.00837961,0.0027932,0.00837961,0.0027932,0.00837961,0.0027932
70,5630.21,1.43322,1.40944,0.01823,0.68614,0.72582,0.73037,0.39251,1.64316,1.14805,0.02587,0.00836168,0.00278723,0.00836168,0.00278723,0.00836168,0.00278723,0.00836168,0.00278723
71,5712.04,1.43122,1.42731,0.01798,0.69895,0.72389,0.72878,0.39309,1.64463,1.14087,0.02582,0.00834351,0.00278117,0.00834351,0.00278117,0.00834351,0.00278117,0.00834351,0.00278117
72,5793.78,1.4229,1.41039,0.01805,0.69008,0.73848,0.73243,0.39449,1.63642,1.1539,0.02561,0.00832511,0.00277504,0.00832511,0.00277504,0.00832511,0.00277504,0.00832511,0.00277504
73,5873.67,1.42716,1.40655,0.01815,0.69701,0.73646,0.73666,0.39817,1.63062,1.14396,0.02548,0.00830648,0.00276883,0.00830648,0.00276883,0.00830648,0.00276883,0.00830648,0.00276883
74,5953.72,1.41729,1.42108,0.01783,0.7004,0.73098,0.73628,0.39911,1.63109,1.13748,0.02549,0.00828762,0.00276254,0.00828762,0.00276254,0.00828762,0.00276254,0.00828762,0.00276254
75,6033.6,1.42015,1.40847,0.01785,0.70056,0.73386,0.73461,0.3967,1.63582,1.14227,0.02551,0.00826852,0.00275617,0.00826852,0.00275617,0.00826852,0.00275617,0.00826852,0.00275617
76,6113.35,1.42961,1.39955,0.01799,0.69684,0.73336,0.73666,0.39488,1.63237,1.15308,0.02537,0.0082492,0.00274973,0.0082492,0.00274973,0.0082492,0.00274973,0.0082492,0.00274973
77,6193.17,1.41382,1.40055,0.01781,0.69418,0.7372,0.73407,0.39177,1.63634,1.15804,0.02541,0.00822964,0.00274321,0.00822964,0.00274321,0.00822964,0.00274321,0.00822964,0.00274321
78,6272.78,1.42594,1.38915,0.01812,0.68451,0.73677,0.73465,0.3951,1.63843,1.15494,0.02543,0.00820986,0.00273662,0.00820986,0.00273662,0.00820986,0.00273662,0.00820986,0.00273662
79,6352.84,1.41753,1.3737,0.01801,0.70065,0.73639,0.73601,0.3949,1.6434,1.14464,0.02541,0.00818986,0.00272995,0.00818986,0.00272995,0.00818986,0.00272995,0.00818986,0.00272995
80,6432.8,1.41923,1.39189,0.01778,0.69469,0.73752,0.73921,0.39674,1.63556,1.14576,0.02525,0.00816963,0.00272321,0.00816963,0.00272321,0.00816963,0.00272321,0.00816963,0.00272321
81,6513.21,1.41108,1.37675,0.01795,0.68526,0.74178,0.74062,0.39933,1.635,1.13663,0.02526,0.00814917,0.00271639,0.00814917,0.00271639,0.00814917,0.00271639,0.00814917,0.00271639
82,6593.2,1.40288,1.36507,0.01769,0.69142,0.7371,0.73845,0.39921,1.63973,1.13661,0.02533,0.00812849,0.0027095,0.00812849,0.0027095,0.00812849,0.0027095,0.00812849,0.0027095
83,6672.97,1.40947,1.35345,0.01778,0.68834,0.74159,0.73754,0.39925,1.64086,1.13567,0.02536,0.0081076,0.00270253,0.0081076,0.00270253,0.0081076,0.00270253,0.0081076,0.00270253
84,6753.01,1.40927,1.35946,0.01771,0.6915,0.74417,0.73834,0.40002,1.64705,1.12621,0.02547,0.00808648,0.00269549,0.00808648,0.00269549,0.00808648,0.00269549,0.00808648,0.00269549
