epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,87.4532,1.91589,6.87299,0.02759,0.00586,0.31113,0.01104,0.00395,1.93178,3.88703,0.03342,0.00298295,0.000994318,0.00298295,0.000994318,0.069839,0.0678504,0.00298295,0.000994318
2,170.048,1.61354,5.03069,0.02192,0.43941,0.14262,0.10089,0.03993,1.72726,3.29926,0.02824,0.00598286,0.00199429,0.00598286,0.00199429,0.0395056,0.035517,0.00598286,0.00199429
3,251.722,1.57694,3.82117,0.02164,0.3374,0.24556,0.17861,0.07505,1.77427,3.09812,0.02969,0.00898241,0.00299414,0.00898241,0.00299414,0.0091718,0.00318353,0.00898241,0.00299414
4,333.26,1.6044,3.25709,0.02209,0.40729,0.33921,0.29946,0.1352,1.76962,2.58669,0.02979,0.00899876,0.00299959,0.00899876,0.00299959,0.00899876,0.00299959,0.00899876,0.00299959
5,414.973,1.60806,2.95691,0.02212,0.4536,0.30501,0.29182,0.12566,1.80081,2.63554,0.03029,0.0089978,0.00299927,0.0089978,0.00299927,0.0089978,0.00299927,0.0089978,0.00299927
6,496.13,1.61098,2.79375,0.02229,0.42812,0.38123,0.34784,0.15243,1.8065,2.55165,0.03164,0.00899657,0.00299886,0.00899657,0.00299886,0.00899657,0.00299886,0.00899657,0.00299886
7,577.564,1.59809,2.69226,0.02218,0.38139,0.41295,0.35538,0.14424,1.87819,2.3864,0.03228,0.00899505,0.00299835,0.00899505,0.00299835,0.00899505,0.00299835,0.00899505,0.00299835
8,658.848,1.61519,2.56137,0.02235,0.43657,0.43071,0.3971,0.16894,1.8454,2.24075,0.03216,0.00899327,0.00299776,0.00899327,0.00299776,0.00899327,0.00299776,0.00899327,0.00299776
9,740.234,1.61976,2.50927,0.02225,0.3975,0.373,0.32877,0.14608,1.90542,2.56656,0.03255,0.00899121,0.00299707,0.00899121,0.00299707,0.00899121,0.00299707,0.00899121,0.00299707
10,821.635,1.61431,2.4737,0.02247,0.45004,0.47066,0.42491,0.18772,1.83364,2.16453,0.03119,0.00898887,0.00299629,0.00898887,0.00299629,0.00898887,0.00299629,0.00898887,0.00299629
11,903.328,1.62925,2.42059,0.02234,0.50747,0.46446,0.46111,0.20701,1.78609,2.07511,0.03037,0.00898627,0.00299542,0.00898627,0.00299542,0.00898627,0.00299542,0.00898627,0.00299542
12,984.781,1.61082,2.3725,0.02231,0.53875,0.5565,0.52805,0.22755,1.85862,1.85983,0.03108,0.00898338,0.00299446,0.00898338,0.00299446,0.00898338,0.00299446,0.00898338,0.00299446
13,1066.1,1.61824,2.33338,0.02223,0.48333,0.53866,0.488,0.21935,1.81433,1.91428,0.03015,0.00898023,0.00299341,0.00898023,0.00299341,0.00898023,0.00299341,0.00898023,0.00299341
14,1147.53,1.61421,2.29649,0.02207,0.52261,0.48569,0.47892,0.21863,1.78691,2.00581,0.02986,0.0089768,0.00299227,0.0089768,0.00299227,0.0089768,0.00299227,0.0089768,0.00299227
15,1229.05,1.60867,2.27154,0.02232,0.53782,0.57774,0.56423,0.27023,1.73812,1.74112,0.02887,0.0089731,0.00299103,0.0089731,0.00299103,0.0089731,0.00299103,0.0089731,0.00299103
16,1310.18,1.60831,2.23787,0.02209,0.54025,0.55442,0.52436,0.24475,1.78257,1.85324,0.02942,0.00896912,0.00298971,0.00896912,0.00298971,0.00896912,0.00298971,0.00896912,0.00298971
17,1391.59,1.60781,2.23157,0.02222,0.55282,0.56784,0.5614,0.27084,1.73401,1.68514,0.02858,0.00896487,0.00298829,0.00896487,0.00298829,0.00896487,0.00298829,0.00896487,0.00298829
18,1473.02,1.60947,2.20782,0.02226,0.58774,0.57239,0.57294,0.27627,1.76737,1.67611,0.02944,0.00896035,0.00298678,0.00896035,0.00298678,0.00896035,0.00298678,0.00896035,0.00298678
19,1554.48,1.59572,2.20153,0.02189,0.49784,0.51492,0.47911,0.22071,1.83885,2.0149,0.03089,0.00895556,0.00298519,0.00895556,0.00298519,0.00895556,0.00298519,0.00895556,0.00298519
20,1635.85,1.61104,2.15844,0.02214,0.50597,0.48487,0.47455,0.22089,1.83132,2.04384,0.03125,0.00895049,0.0029835,0.00895049,0.0029835,0.00895049,0.0029835,0.00895049,0.0029835
21,1717.04,1.60575,2.13514,0.02206,0.5095,0.49471,0.46663,0.21724,1.83354,2.08396,0.03115,0.00894515,0.00298172,0.00894515,0.00298172,0.00894515,0.00298172,0.00894515,0.00298172
22,1798.43,1.60781,2.11597,0.02236,0.54296,0.57486,0.55626,0.26441,1.77395,1.66889,0.02963,0.00893954,0.00297985,0.00893954,0.00297985,0.00893954,0.00297985,0.00893954,0.00297985
23,1879.58,1.60202,2.11702,0.02202,0.56821,0.56557,0.56413,0.25941,1.80303,1.69876,0.03046,0.00893366,0.00297789,0.00893366,0.00297789,0.00893366,0.00297789,0.00893366,0.00297789
24,1960.77,1.59469,2.1072,0.02188,0.5671,0.56095,0.54726,0.25517,1.79701,1.81909,0.02996,0.00892751,0.00297584,0.00892751,0.00297584,0.00892751,0.00297584,0.00892751,0.00297584
25,2042.18,1.59282,2.08015,0.022,0.56905,0.61165,0.59212,0.29432,1.73117,1.59697,0.02855,0.00892109,0.0029737,0.00892109,0.0029737,0.00892109,0.0029737,0.00892109,0.0029737
26,2123.44,1.59028,2.07447,0.02193,0.55402,0.59368,0.58422,0.27941,1.76235,1.63861,0.02928,0.0089144,0.00297147,0.0089144,0.00297147,0.0089144,0.00297147,0.0089144,0.00297147
27,2204.62,1.60209,2.0523,0.02192,0.59298,0.59991,0.59712,0.29381,1.74601,1.55528,0.02939,0.00890744,0.00296915,0.00890744,0.00296915,0.00890744,0.00296915,0.00890744,0.00296915
28,2286.06,1.5946,2.04041,0.02187,0.61191,0.63908,0.62765,0.32085,1.69397,1.47672,0.02751,0.00890021,0.00296674,0.00890021,0.00296674,0.00890021,0.00296674,0.00890021,0.00296674
29,2367.81,1.5932,2.04239,0.02194,0.56543,0.6174,0.59473,0.27746,1.80235,1.63816,0.02948,0.00889271,0.00296424,0.00889271,0.00296424,0.00889271,0.00296424,0.00889271,0.00296424
30,92.5972,1.57705,2.00262,0.02157,0.6598,0.61301,0.64509,0.31908,1.72704,1.46847,0.0281,0.00888494,0.00296165,0.00888494,0.00296165,0.00888494,0.00296165,0.00888494,0.00296165
31,173.44,1.58697,2.00224,0.02156,0.59472,0.62899,0.62814,0.32002,1.69435,1.48377,0.0274,0.00887691,0.00295897,0.00887691,0.00295897,0.00887691,0.00295897,0.00887691,0.00295897
32,255.392,1.57272,1.98675,0.02169,0.59797,0.62859,0.62274,0.30872,1.72843,1.50712,0.02794,0.00886861,0.0029562,0.00886861,0.0029562,0.00886861,0.0029562,0.00886861,0.0029562
33,336.979,1.56235,1.98092,0.0213,0.61666,0.6214,0.63706,0.32355,1.68361,1.42852,0.02735,0.00886004,0.00295335,0.00886004,0.00295335,0.00886004,0.00295335,0.00886004,0.00295335
34,418.279,1.56724,1.97064,0.02133,0.60227,0.64129,0.647,0.33126,1.71007,1.41401,0.02787,0.0088512,0.0029504,0.0088512,0.0029504,0.0088512,0.0029504,0.0088512,0.0029504
35,500.295,1.56505,1.95819,0.02136,0.65171,0.64433,0.64996,0.32217,1.7154,1.4319,0.02771,0.0088421,0.00294737,0.0088421,0.00294737,0.0088421,0.00294737,0.0088421,0.00294737
36,581.411,1.55911,1.96764,0.02131,0.61536,0.64363,0.64539,0.33365,1.65787,1.44412,0.02659,0.00883274,0.00294425,0.00883274,0.00294425,0.00883274,0.00294425,0.00883274,0.00294425
37,662.526,1.55763,1.94293,0.02122,0.63452,0.65811,0.65901,0.34455,1.66164,1.39245,0.0269,0.00882311,0.00294104,0.00882311,0.00294104,0.00882311,0.00294104,0.00882311,0.00294104
38,743.871,1.56249,1.92434,0.02111,0.61363,0.6676,0.6476,0.3377,1.67803,1.39107,0.02717,0.00881321,0.00293774,0.00881321,0.00293774,0.00881321,0.00293774,0.00881321,0.00293774
39,825.974,1.56296,1.94104,0.02132,0.61512,0.6491,0.63782,0.31893,1.7216,1.4239,0.02789,0.00880306,0.00293435,0.00880306,0.00293435,0.00880306,0.00293435,0.00880306,0.00293435
40,912.666,1.56335,1.93888,0.02105,0.59798,0.67988,0.65312,0.33335,1.68568,1.37305,0.02719,0.00879264,0.00293088,0.00879264,0.00293088,0.00879264,0.00293088,0.00879264,0.00293088
41,1001,1.56263,1.909,0.02125,0.62133,0.63368,0.63845,0.32518,1.7146,1.39081,0.02781,0.00878196,0.00292732,0.00878196,0.00292732,0.00878196,0.00292732,0.00878196,0.00292732
42,1101.99,1.55143,1.91535,0.02103,0.64951,0.67646,0.67978,0.35439,1.68052,1.31465,0.02704,0.00877101,0.00292367,0.00877101,0.00292367,0.00877101,0.00292367,0.00877101,0.00292367
43,1190.61,1.55326,1.89577,0.02091,0.63627,0.67823,0.67533,0.35301,1.67696,1.30961,0.0268,0.00875981,0.00291994,0.00875981,0.00291994,0.00875981,0.00291994,0.00875981,0.00291994
44,1272.1,1.54896,1.89299,0.02115,0.64823,0.66124,0.67319,0.35609,1.64097,1.30624,0.02619,0.00874835,0.00291612,0.00874835,0.00291612,0.00874835,0.00291612,0.00874835,0.00291612
45,1354.2,1.5474,1.87338,0.02087,0.64186,0.66702,0.66835,0.33642,1.71164,1.35198,0.02763,0.00873662,0.00291221,0.00873662,0.00291221,0.00873662,0.00291221,0.00873662,0.00291221
46,1436.02,1.55134,1.88065,0.02111,0.67195,0.66373,0.6803,0.35766,1.66989,1.30229,0.02682,0.00872464,0.00290821,0.00872464,0.00290821,0.00872464,0.00290821,0.00872464,0.00290821
